id,detector_id,starttime,volume,speed,occupancy,countreadings,vmt,vht,delay,traveltime,resolution
17903490535,101140,2023-03-01 00:00:00-08,214,58.93,1.74,180,146.59,2.49,0.01,0.7,01:00:00
17903491793,101140,2023-03-01 01:00:00-08,140,56.81,1.27,180,95.9,1.69,0.04,0.72,01:00:00
17903493051,101140,2023-03-01 02:00:00-08,157,58.59,1.47,180,107.55,1.84,0.02,0.7,01:00:00
17903495151,101140,2023-03-01 03:00:00-08,265,59.83,2.42,180,181.53,3.03,0,0.69,01:00:00
17903502256,101140,2023-03-01 04:00:00-08,495,58.56,3.85,180,339.08,5.79,0.02,0.7,01:00:00
17903503729,101140,2023-03-01 05:00:00-08,879,50.5,7.47,180,602.12,11.92,0.13,0.81,01:00:00
17903504987,101140,2023-03-01 06:00:00-08,1147,35.58,15.66,180,785.7,22.08,0.47,1.16,01:00:00
17903506245,101140,2023-03-01 07:00:00-08,1128,38.31,12.2,180,772.68,20.17,0.39,1.07,01:00:00
17903511954,101140,2023-03-01 08:00:00-08,1088,34.38,13.39,180,745.28,21.68,0.51,1.2,01:00:00
17903515665,101140,2023-03-01 09:00:00-08,1047,37.84,12.33,180,717.2,18.95,0.4,1.09,01:00:00
17903516923,101140,2023-03-01 10:00:00-08,942,50.91,7.89,180,645.27,12.67,0.12,0.81,01:00:00
17903518791,101140,2023-03-01 11:00:00-08,972,47.41,9.35,180,665.82,14.04,0.18,0.87,01:00:00
17903523886,101140,2023-03-01 12:00:00-08,851,44.98,7.92,180,582.94,12.96,0.23,0.91,01:00:00
17903527601,101140,2023-03-01 13:00:00-08,812,49.85,6.75,180,556.22,11.16,0.14,0.82,01:00:00
17903528859,101140,2023-03-01 14:00:00-08,793,48.53,6.17,180,543.21,11.19,0.16,0.85,01:00:00
17903530801,101140,2023-03-01 15:00:00-08,614,45.06,4.88,180,420.59,9.33,0.23,0.91,01:00:00
17903535767,101140,2023-03-01 16:00:00-08,754,37.11,7.94,180,516.49,13.92,0.42,1.11,01:00:00
17903538342,101140,2023-03-01 17:00:00-08,904,29.14,12.06,180,619.24,21.25,0.73,1.41,01:00:00
17903540795,101140,2023-03-01 18:00:00-08,843,46.53,6.5,180,577.46,12.41,0.2,0.88,01:00:00
