detectorid,highwayid,enabledflag,locationtext,detectortype,detectorclass,detectortitle,detectorstatus,lanenumber,stationid,rampid,controllerid,end_date,start_date,milepost,agency_lane,atms_id,active_dates
101763,612,1,D Far Side,,,101763,,5,10347,,,,2015-09-16 11:55:20-07,0,2,,"[2015-09-16,)"
102034,1,1,Greeley (2DS112) to NB I-5,,,102034,,2,10379,,,,2016-11-16 11:31:40-08,303.1,1,,"[2016-11-16,)"
1764,4,1,ORE 99E SB,,,1764,,1,5103,,,2014-10-23 23:59:40-07,2012-03-01 00:00:00-08,9.29,2,,"[2012-03-01,2014-10-24)"
1815,10,1,Barnes SB,,,1815,,1,5118,,,2014-10-23 23:59:40-07,2012-03-01 00:00:00-08,0.1,2,,"[2012-03-01,2014-10-24)"
1682,11,1,Canyon Rd EB,,,1682,,1,5090,,,2014-10-23 23:59:40-07,2012-03-01 00:00:00-08,70.9,2,,"[2012-03-01,2014-10-24)"
1209,1,1,Denver Ave NB,,,1209,,1,5022,,,2014-10-23 23:59:40-07,2012-03-01 00:00:00-08,306.51,2,,"[2012-03-01,2014-10-24)"
1776,4,1,ORE 224 SB,,,1776,,1,5206,,,2014-10-23 23:59:40-07,2012-03-01 00:00:00-08,13.38,2,,"[2012-03-01,2014-10-24)"
1038,2,1,Nyberg SB,,,1038,,1,5040,,,2014-10-23 23:59:40-07,2012-03-01 00:00:00-08,289.38,2,,"[2012-03-01,2014-10-24)"
1753,4,1,Gladstone SB,,,1753,,1,5101,,,2014-10-23 23:59:40-07,2012-03-01 00:00:00-08,11.05,2,,"[2012-03-01,2014-10-24)"
9001,2,1,TMOC TEST Controller1,,,9001,,1,6068,,,2012-06-30 23:59:40-07,2012-03-01 00:00:00-08,307,3,,"[2012-03-01,2012-07-01)"
1449,8,1,207th WB,,,1449,,2,1058,,,2014-10-23 23:59:40-07,2012-03-01 00:00:00-08,14.43,2,,"[2012-03-01,2014-10-24)"
1193,1,1,Alberta St NB,,,1193,,1,5020,,,2014-10-23 23:59:40-07,2012-03-01 00:00:00-08,304.4,2,,"[2012-03-01,2014-10-24)"
1788,3,1,ORE 43 NB-NB,,,1788,,1,5110,,,2014-10-23 23:59:40-07,2012-03-01 00:00:00-08,9.03,2,,"[2012-03-01,2014-10-24)"
1897,5,1,Couch (2R389) to NB I-405,,,1897,,2,1132,,,2014-10-23 23:59:40-07,2012-03-01 00:00:00-08,2.3,1,,"[2012-03-01,2014-10-24)"
100916,3,1,99E (2R042) to NB I-205,,,100916,,3,1041,,,2017-11-22 09:03:00-08,2015-03-10 10:20:00-07,9.45,0,,"[2015-03-10,2017-11-23)"
101718,612,1,C Near Side,,,101718,,4,10330,,,2017-05-11 13:31:20-07,2015-09-14 12:01:40-07,0,3,,"[2015-09-14,2017-05-12)"
100996,4,1,Foster (2R033) to SB I-205,,,100996,,3,1054,,,2019-10-15 11:09:40-07,2014-12-01 16:07:40-08,17.5,2,,"[2014-12-01,2019-10-16)"
1350,3,1,Sunnyside NB,,,1350,,1,5045,,,2014-10-23 23:59:40-07,2012-03-01 00:00:00-08,14.32,2,,"[2012-03-01,2014-10-24)"
1448,8,1,207th WB,,,1448,,1,1058,,,2014-10-23 23:59:40-07,2012-03-01 00:00:00-08,14.43,3,,"[2012-03-01,2014-10-24)"
101716,612,1,C Near Side,,,101716,,6,10330,,,2017-05-11 13:31:20-07,2015-07-23 12:03:20-07,0,1,,"[2015-07-23,2017-05-12)"
101717,612,1,C Near Side,,,101717,,5,10330,,,2017-05-11 13:31:20-07,2015-07-23 12:03:20-07,0,2,,"[2015-07-23,2017-05-12)"
1217,1,1,Delta Park NB,,,1217,,1,5023,,,2014-10-23 23:59:40-07,2012-03-01 00:00:00-08,306.51,2,,"[2012-03-01,2014-10-24)"
1185,1,1,Going St NB,,,1185,,1,5019,,,2014-10-23 23:59:40-07,2012-03-01 00:00:00-08,303.88,2,,"[2012-03-01,2014-10-24)"
1414,4,1,Powell Blvd SB,,,1414,,1,5053,,,2014-10-23 23:59:40-07,2012-03-01 00:00:00-08,18.92,2,,"[2012-03-01,2014-10-24)"
1527,9,1,Denney Rd NB,,,1527,,1,5066,,,2014-10-23 23:59:40-07,2012-03-01 00:00:00-08,2.68,2,,"[2012-03-01,2014-10-24)"
1556,10,1,Walker Rd SB,,,1556,,1,5080,,,2014-10-23 23:59:40-07,2012-03-01 00:00:00-08,0.76,2,,"[2012-03-01,2014-10-24)"
100771,1,1,Bertha NB,,,100771,,2,1014,,,2015-10-19 15:48:20-07,2014-10-22 06:59:40-07,297.35,2,,"[2014-10-22,2015-10-20)"
1772,2,1,99W (2R324) to SB I-5,,,1772,,3,1105,,,2014-10-23 23:59:40-07,2012-03-01 00:00:00-08,293.36,1,,"[2012-03-01,2014-10-24)"
1883,12,1,185th to US26 WB,,,1883,,1,5129,,,2014-10-23 23:59:40-07,2012-03-01 00:00:00-08,64.24,2,,"[2012-03-01,2014-10-24)"
102017,54,1,Salmon CR NB ML1,1,8,205es03615:_MN___1,1,1,5207,5207,5207,,2017-04-06 00:00:00-07,36.15,1,,"[2017-04-06,)"
102018,54,1,Salmon CR NB ML2,1,8,205es03615:_MN___2,1,2,5207,5207,5207,,2017-04-06 00:00:00-07,36.15,2,,"[2017-04-06,)"
102019,55,1,Salmon CR SB ML1,1,8,205es03616:_MS___1,1,1,5208,5208,5208,,2017-04-06 00:00:00-07,36.15,1,,"[2017-04-06,)"
102020,55,1,Salmon CR SB ML2,1,8,205es03616:_MS___2,1,2,5208,5208,5208,,2017-04-06 00:00:00-07,36.15,2,,"[2017-04-06,)"
1170,2,1,Wheeler SB,,,1170,,1,5035,,,2014-10-23 23:59:40-07,2012-03-01 00:00:00-08,302.17,2,,"[2012-03-01,2014-10-24)"
1598,10,1,Greenburg SB,,,1598,,1,5074,,,2014-10-23 23:59:40-07,2012-03-01 00:00:00-08,5.11,2,,"[2012-03-01,2014-10-24)"
100981,4,1,ORE 224/82nd Ave SB,,,100981,,3,1099,,,2015-10-28 12:28:40-07,2014-12-02 16:20:00-08,13.38,1,,"[2014-12-02,2015-10-29)"
100657,11,1,ORE 217 NB to EB,,,100657,,3,1088,,,2015-10-20 09:24:40-07,2014-09-16 14:33:20-07,69.31,1,,"[2014-09-16,2015-10-21)"
1591,10,1,Scholls Fy SB,,,1591,,1,5075,,,2014-10-23 23:59:40-07,2012-03-01 00:00:00-08,4.35,2,,"[2012-03-01,2014-10-24)"
100941,3,1,Foster (2R050) to NB I-205,,,100941,,3,1047,,,2019-10-15 09:55:20-07,2014-12-01 16:02:40-08,18.1,2,,"[2014-12-01,2019-10-16)"
1406,4,1,Division SB,,,1406,,1,5052,,,2014-10-23 23:59:40-07,2012-03-01 00:00:00-08,19.25,2,,"[2012-03-01,2014-10-24)"
1913,6,1,5th to I-405 SB,,,1913,,1,5134,,,2014-10-23 23:59:40-07,2012-03-01 00:00:00-08,0.97,1,,"[2012-03-01,2014-10-24)"
100942,3,1,Foster (2R050) to NB I-205,,,100942,,2,1047,,,2019-10-15 09:55:20-07,2014-12-01 16:02:40-08,18.1,3,,"[2014-12-01,2019-10-16)"
100770,1,1,Bertha NB,,,100770,,3,1014,,,2015-10-19 15:48:20-07,2014-10-22 06:59:40-07,297.35,1,,"[2014-10-22,2015-10-20)"
100772,1,1,Bertha NB,,,100772,,1,1014,,,2015-10-19 15:48:20-07,2014-10-22 06:59:40-07,297.35,3,,"[2014-10-22,2015-10-20)"
1429,7,1,Grand EB,,,1429,,1,5055,,,2014-10-23 23:59:40-07,2012-03-01 00:00:00-08,0.52,2,,"[2012-03-01,2014-10-24)"
1775,2,1,ORE 99W SB,,,1775,,1,5105,,,2014-10-23 23:59:40-07,2012-03-01 00:00:00-08,293.36,2,,"[2012-03-01,2014-10-24)"
1769,4,1,ORE 43 SB,,,1769,,1,5104,,,2014-10-23 23:59:40-07,2012-03-01 00:00:00-08,8.5,2,,"[2012-03-01,2014-10-24)"
3211,7,1,82nd (2DS018) @ EB I-84 MP5.03,,,3211,,1,3133,,,2014-10-23 23:59:40-07,2014-10-23 13:02:40-07,5.03,3,,"[2014-10-23,2014-10-24)"
1138,1,1,Bertha NB,,,1138,,2,1014,,,2014-10-23 23:59:40-07,2012-03-01 00:00:00-08,297.35,2,,"[2012-03-01,2014-10-24)"
1919,6,1,Broadway to I-405 SB,,,1919,,1,5135,,,2014-10-23 23:59:40-07,2012-03-01 00:00:00-08,1.08,1,,"[2012-03-01,2014-10-24)"
1094,1,1,Haines St NB,,,1094,,1,5008,,,2014-10-23 23:59:40-07,2012-03-01 00:00:00-08,293.18,2,,"[2012-03-01,2014-10-24)"
1469,8,1,58th WB,,,1469,,1,5060,,,2014-10-23 23:59:40-07,2012-03-01 00:00:00-08,3.43,2,,"[2012-03-01,2014-10-24)"
3357,7,1,28th (2DS015) @ EB I-84 MP1.82,,,3357,,1,3129,,,2014-10-23 23:59:40-07,2014-10-23 13:02:40-07,1.82,3,,"[2014-10-23,2014-10-24)"
1785,3,1,ORE 43 SB-NB,,,1785,,1,5109,,,2014-10-23 23:59:40-07,2012-03-01 00:00:00-08,8.8,2,,"[2012-03-01,2014-10-24)"
1969,12,1,Barnes WB,,,1969,,1,5146,,,2014-10-23 23:59:40-07,2012-03-01 00:00:00-08,69.31,1,,"[2012-03-01,2014-10-24)"
1306,2,1,Hood (2R302) to SB I-5,,,1306,,1,1036,,,2014-10-23 23:59:40-07,2012-03-01 00:00:00-08,299.25,3,,"[2012-03-01,2014-10-24)"
1334,3,1,Clackamas Hwy NB,,,1334,,1,5043,,,2014-10-23 23:59:40-07,2012-03-01 00:00:00-08,12.94,2,,"[2012-03-01,2014-10-24)"
1541,9,1,TV Hwy NB,,,1541,,1,5064,,,2014-10-23 23:59:40-07,2012-03-01 00:00:00-08,1.34,2,,"[2012-03-01,2014-10-24)"
1142,1,1,Bertha NB,,,1142,,1,5014,,,2014-10-23 23:59:40-07,2012-03-01 00:00:00-08,297.33,2,,"[2012-03-01,2014-10-24)"
1453,8,1,207th WB,,,1453,,1,5058,,,2014-10-23 23:59:40-07,2012-03-01 00:00:00-08,14.43,2,,"[2012-03-01,2014-10-24)"
1778,2,1,Capitol (2R306) on SB I-5,,,1778,,2,1107,,,2014-10-23 23:59:40-07,2012-03-01 00:00:00-08,295.18,2,,"[2012-03-01,2014-10-24)"
1719,12,1,Murray Rd WB,,,1719,,1,5095,,,2014-10-23 23:59:40-07,2012-03-01 00:00:00-08,67,2,,"[2012-03-01,2014-10-24)"
1952,3,1,Glisan to I-205 NB,,,1952,,1,5142,,,2014-10-23 23:59:40-07,2012-03-01 00:00:00-08,21.12,2,,"[2012-03-01,2014-10-24)"
1873,7,1,60th EB,,,1873,,1,5127,,,2014-10-23 23:59:40-07,2012-03-01 00:00:00-08,3.69,1,,"[2012-03-01,2014-10-24)"
1771,2,1,99W (2R324) to SB I-5,,,1771,,2,1105,,,2014-10-23 23:59:40-07,2012-03-01 00:00:00-08,293.36,2,,"[2012-03-01,2014-10-24)"
1098,1,1,99W (2R307) to NB I-5,,,1098,,2,1009,,,2014-10-23 23:59:40-07,2012-03-01 00:00:00-08,293.74,2,,"[2012-03-01,2014-10-24)"
1099,1,1,99W (2R307) to NB I-5,,,1099,,3,1009,,,2014-10-23 23:59:40-07,2012-03-01 00:00:00-08,293.74,1,,"[2012-03-01,2014-10-24)"
1427,7,1,Grand (2R075) to EB I-84,,,1427,,3,1055,,,2014-10-23 23:59:40-07,2012-03-01 00:00:00-08,0.52,1,,"[2012-03-01,2014-10-24)"
1137,1,1,Bertha NB,,,1137,,1,1014,,,2014-10-23 23:59:40-07,2012-03-01 00:00:00-08,297.35,3,,"[2012-03-01,2014-10-24)"
1152,1,1,Morrison BR WB to NB,,,1152,,1,1016,,,2014-10-23 23:59:40-07,2012-03-01 00:00:00-08,301.09,2,,"[2012-03-01,2014-10-24)"
1867,4,1,Sunnybrook SB,,,1867,,1,5126,,,2014-10-23 23:59:40-07,2012-03-01 00:00:00-08,14.32,2,,"[2012-03-01,2014-10-24)"
1167,2,1,Wheeler (2R018) to SB I-5,,,1167,,2,1035,,,2014-10-23 23:59:40-07,2012-03-01 00:00:00-08,302.17,1,,"[2012-03-01,2014-10-24)"
1895,2,1,Haines St SB,,,1895,,1,5131,,,2014-10-23 23:59:40-07,2012-03-01 00:00:00-08,293.1,2,,"[2012-03-01,2014-10-24)"
1110,1,1,Capital Hwy NB,,,1110,,1,5010,,,2014-10-23 23:59:40-07,2012-03-01 00:00:00-08,295.18,2,,"[2012-03-01,2014-10-24)"
1770,2,1,99W (2R324) to SB I-5,,,1770,,1,1105,,,2014-10-23 23:59:40-07,2012-03-01 00:00:00-08,293.36,3,,"[2012-03-01,2014-10-24)"
1548,9,1,Walker Rd NB,,,1548,,1,5063,,,2014-10-23 23:59:40-07,2012-03-01 00:00:00-08,0.66,2,,"[2012-03-01,2014-10-24)"
1166,2,1,Wheeler (2R018) to SB I-5,,,1166,,1,1035,,,2014-10-23 23:59:40-07,2012-03-01 00:00:00-08,302.17,2,,"[2012-03-01,2014-10-24)"
1426,7,1,Grand (2R075) to EB I-84,,,1426,,2,1055,,,2014-10-23 23:59:40-07,2012-03-01 00:00:00-08,0.52,2,,"[2012-03-01,2014-10-24)"
1499,9,1,99W EB to NB,,,1499,,1,5070,,,2014-10-23 23:59:40-07,2012-03-01 00:00:00-08,5.9,2,,"[2012-03-01,2014-10-24)"
1299,2,1,Greeley (2DS112) to SB I-5,,,1299,,1,1034,,,2014-10-23 23:59:40-07,2012-03-01 00:00:00-08,303.1,2,,"[2012-03-01,2014-10-24)"
1177,1,1,Broadway NB,,,1177,,1,5018,,,2014-10-23 23:59:40-07,2012-03-01 00:00:00-08,302.5,2,,"[2012-03-01,2014-10-24)"
1612,10,1,72nd SB,,,1612,,1,5072,,,2014-10-23 23:59:40-07,2012-03-01 00:00:00-08,6.77,2,,"[2012-03-01,2014-10-24)"
1690,11,1,Skyline Rd EB,,,1690,,1,5091,,,2014-10-23 23:59:40-07,2012-03-01 00:00:00-08,71.37,2,,"[2012-03-01,2014-10-24)"
1425,7,1,Grand (2R075) to EB I-84,,,1425,,1,1055,,,2014-10-23 23:59:40-07,2012-03-01 00:00:00-08,0.52,3,,"[2012-03-01,2014-10-24)"
1485,8,1,33rd WB,,,1485,,1,5062,,,2014-10-23 23:59:40-07,2012-03-01 00:00:00-08,2.1,2,,"[2012-03-01,2014-10-24)"
1318,3,1,ORE 99E NB,,,1318,,1,5041,,,2014-10-23 23:59:40-07,2012-03-01 00:00:00-08,9.45,2,,"[2012-03-01,2014-10-24)"
1619,11,1,Helvetia EB,,,1619,,1,5081,,,2014-10-23 23:59:40-07,2012-03-01 00:00:00-08,61.25,2,,"[2012-03-01,2014-10-24)"
1342,3,1,Lawnfield NB,,,1342,,1,5044,,,2014-10-23 23:59:40-07,2012-03-01 00:00:00-08,13.58,2,,"[2012-03-01,2014-10-24)"
100857,11,1,Cornell (2R372) to EB US 26,,,100857,,3,1085,,,,2015-06-02 15:04:00-07,65.9,1,,"[2015-06-02,)"
1926,6,1,I-405 SB Data Station,,,1926,,2,1137,,,2014-10-23 23:59:40-07,2012-03-01 00:00:00-08,4.09,1,,"[2012-03-01,2014-10-24)"
1131,1,1,Bertha (2R309) to NB I-5,,,1131,,3,1013,,,2014-10-23 23:59:40-07,2012-03-01 00:00:00-08,297.4,1,,"[2012-03-01,2014-10-24)"
1461,8,1,82nd/Halsey WB,,,1461,,1,5059,,,2014-10-23 23:59:40-07,2012-03-01 00:00:00-08,4.9,2,,"[2012-03-01,2014-10-24)"
1130,1,1,Bertha (2R309) to NB I-5,,,1130,,2,1013,,,2014-10-23 23:59:40-07,2012-03-01 00:00:00-08,297.4,2,,"[2012-03-01,2014-10-24)"
1129,1,1,Bertha (2R309) to NB I-5,,,1129,,1,1013,,,2014-10-23 23:59:40-07,2012-03-01 00:00:00-08,297.4,3,,"[2012-03-01,2014-10-24)"
1787,3,1,NB OR 43 (2DS095) to NB I-205,,,1787,,2,1110,,,2014-10-23 23:59:40-07,2012-03-01 00:00:00-08,9.03,1,,"[2012-03-01,2014-10-24)"
1786,3,1,NB OR 43 (2DS095) to NB I-205,,,1786,,1,1110,,,2014-10-23 23:59:40-07,2012-03-01 00:00:00-08,9.03,2,,"[2012-03-01,2014-10-24)"
1017,1,1,EB Nyberg Loop (2R313) to NB I-5,,,1017,,1,1003,,,2014-10-23 23:59:40-07,2012-03-01 00:00:00-08,289.4,5,,"[2012-03-01,2014-10-24)"
1018,1,1,EB Nyberg Loop (2R313) to NB I-5,,,1018,,2,1003,,,2014-10-23 23:59:40-07,2012-03-01 00:00:00-08,289.4,4,,"[2012-03-01,2014-10-24)"
